bar,timestamp,session,p_profit,action,signal,equity_cny,exec,risk_event,drawdown_pct
29,2024-01-15 03:56:00.839161,CHINA_HOURS,0.7657646066543712,ACTION,BUY,999893.5929893724,[SSE BUY] qty=1620 @ 49.37 cost=106.41,,-0.010640701062756113
30,2024-01-15 04:01:02.937063,CHINA_HOURS,0.7646541530016088,HOLD(cost),HOLD,1000163.9410691495,[SSE HOLD],,0.0
31,2024-01-15 04:06:05.034965,CHINA_HOURS,0.7948590169902336,HOLD(cost),HOLD,1000571.1342429365,[SSE HOLD],,0.0
32,2024-01-15 04:11:07.132867,CHINA_HOURS,0.8424675597940352,HOLD(cost),HOLD,1000204.4260829653,[SSE HOLD],,-0.03664988399336843
33,2024-01-15 04:16:09.230769,CHINA_HOURS,0.8411921199759657,ACTION,BUY,1000184.0942382343,[SSE BUY] qty=1612 @ 49.62 cost=116.54,,-0.03868190790802842
34,2024-01-15 04:21:11.328671,CHINA_HOURS,0.8404255312548843,HOLD(cost),HOLD,999994.5942280205,[SSE HOLD],,-0.05762109211277725
35,2024-01-15 04:26:13.426573,CHINA_HOURS,0.8214897190300798,HOLD(cost),HOLD,1000354.7007846388,[SSE HOLD],,-0.02163099162974618
36,2024-01-15 04:31:15.524476,CHINA_HOURS,0.8537100429276123,HOLD(cost),HOLD,1000544.0204183283,[SSE HOLD],,-0.002709834781379018
37,2024-01-15 04:36:17.622378,CHINA_HOURS,0.8692523298087448,HOLD(cost),HOLD,999788.8506828711,[SSE HOLD],,-0.07818370261673954
38,2024-01-15 04:41:19.720280,CHINA_HOURS,0.8230545241014018,HOLD(cost),HOLD,1000388.9450579514,[SSE HOLD],,-0.018208518989804103
39,2024-01-15 04:46:21.818182,CHINA_HOURS,0.8025607365994825,HOLD(cost),HOLD,1000006.7314025557,[SSE HOLD],,-0.05640806745917511
40,2024-01-15 04:51:23.916084,CHINA_HOURS,0.7657226757290369,HOLD(cost),HOLD,999797.7109197637,[SSE HOLD],,-0.0772981846770983
41,2024-01-15 04:56:26.013986,CHINA_HOURS,0.7303696468481767,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],STOP_LOSS,-0.1790203398665962
42,2024-01-15 05:01:28.111888,CHINA_HOURS,0.7406967225530857,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
43,2024-01-15 05:06:30.209790,CHINA_HOURS,0.68386390522044,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
44,2024-01-15 05:11:32.307692,CHINA_HOURS,0.6398521148659116,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
45,2024-01-15 05:16:34.405594,CHINA_HOURS,0.5753244398390406,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
46,2024-01-15 05:21:36.503497,CHINA_HOURS,0.5285905533574907,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
47,2024-01-15 05:26:38.601399,CHINA_HOURS,0.5489870876677024,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
48,2024-01-15 05:31:40.699301,CHINA_HOURS,0.5235643131220146,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
49,2024-01-15 05:36:42.797203,CHINA_HOURS,0.482567548398328,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
50,2024-01-15 05:41:44.895105,CHINA_HOURS,0.4042364467829566,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
51,2024-01-15 05:46:46.993007,CHINA_HOURS,0.3714878855663291,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
52,2024-01-15 05:51:49.090909,CHINA_HOURS,0.364383792139962,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
53,2024-01-15 05:56:51.188811,CHINA_HOURS,0.4242286871433231,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
54,2024-01-15 06:01:53.286713,CHINA_HOURS,0.45770385337244407,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
55,2024-01-15 06:06:55.384615,CHINA_HOURS,0.4831486553523239,INACTION,HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
56,2024-01-15 06:11:57.482517,CHINA_HOURS,0.5711649118695549,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
57,2024-01-15 06:16:59.580420,CHINA_HOURS,0.6002523949215313,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
58,2024-01-15 06:22:01.678322,CHINA_HOURS,0.6869856197965201,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
59,2024-01-15 06:27:03.776224,CHINA_HOURS,0.6753168509000207,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
60,2024-01-15 06:32:05.874126,CHINA_HOURS,0.7149203338773824,HOLD(cost),HOLD,998779.9083978077,[SSE HOLD],,-0.1790203398665962
61,2024-01-15 06:37:07.972028,CHINA_HOURS,0.7789100965968762,ACTION,BUY,998680.452320644,[SSE BUY] qty=1646 @ 48.54 cost=99.46,,-0.18896027054818051
62,2024-01-15 06:42:10.069930,CHINA_HOURS,0.8051867771092103,ACTION,BUY,998669.8891459003,[SSE BUY] qty=1644 @ 48.59 cost=103.47,,-0.1900159850678463
63,2024-01-15 06:47:12.167832,CHINA_HOURS,0.8396899773861867,HOLD(cost),HOLD,998347.684237562,[SSE HOLD],,-0.22221808418017466
64,2024-01-15 06:52:14.265734,CHINA_HOURS,0.8665674519222749,HOLD(cost),HOLD,996587.0495167343,[SSE HOLD],STOP_LOSS,-0.3981810577832294
